"","spot_1_1","spot_1_2","spot_1_3","spot_1_4","spot_1_5","spot_1_6","spot_1_7","spot_1_8","spot_1_9","spot_2_1","spot_2_2","spot_2_3","spot_2_4","spot_2_5","spot_2_6","spot_2_7","spot_2_8","spot_2_9","spot_3_1","spot_3_2","spot_3_3","spot_3_4","spot_3_5","spot_3_6","spot_3_7","spot_3_8","spot_3_9","spot_4_1","spot_4_2","spot_4_3","spot_4_4","spot_4_5","spot_4_6","spot_4_7","spot_4_8","spot_4_9","spot_5_1","spot_5_2","spot_5_3","spot_5_4","spot_5_5","spot_5_6","spot_5_7","spot_5_8","spot_5_9","spot_6_1","spot_6_2","spot_6_3","spot_6_4","spot_6_5","spot_6_6","spot_6_7","spot_6_8","spot_6_9","spot_7_1","spot_7_2","spot_7_3","spot_7_4","spot_7_5","spot_7_6","spot_7_7","spot_7_8","spot_7_9","spot_8_1","spot_8_2","spot_8_3","spot_8_4","spot_8_5","spot_8_6","spot_8_7","spot_8_8","spot_8_9","spot_9_1","spot_9_2","spot_9_3","spot_9_4","spot_9_5","spot_9_6","spot_9_7","spot_9_8","spot_9_9","spot_10_3","spot_10_4","spot_10_5","spot_10_6"
"Nr2f2",0,0,0,1,1,0,0,0,0,0,4,2,1,3,2,9,3,5,4,6,7,2,2,2,2,0,2,3,2,5,3,1,2,6,6,3,1,0,1,9,1,5,1,2,6,0,2,6,3,7,2,8,0,3,3,3,3,8,6,2,7,0,2,3,2,0,0,8,2,3,2,2,7,0,3,6,1,3,2,4,1,0,0,0,1
"Shisa9",1,2,2,5,2,7,2,0,0,1,3,4,1,2,10,12,2,4,4,6,12,5,5,3,6,4,2,5,1,5,4,3,6,2,6,3,6,5,3,4,9,7,2,2,1,1,2,7,5,1,2,9,2,4,5,8,15,6,7,6,4,1,0,5,6,4,3,5,2,4,3,4,5,4,1,4,2,6,7,5,2,1,1,0,6
"Vat1l",0,0,0,1,3,2,1,0,0,0,4,4,0,2,4,1,5,3,1,1,0,1,0,4,1,2,2,1,1,4,0,1,3,2,3,1,0,1,0,2,1,3,2,3,2,0,0,5,1,1,1,6,1,0,0,4,0,8,4,4,6,0,1,1,5,3,1,5,0,2,2,2,2,0,0,5,0,4,1,3,2,0,0,0,0
"Pcdh18",1,0,0,0,3,4,1,0,0,0,3,5,4,4,9,3,5,3,1,2,7,3,3,2,1,9,1,3,4,9,3,2,3,3,4,1,0,4,0,4,0,2,3,1,3,3,3,2,5,4,2,2,4,2,4,4,7,2,7,5,3,2,0,4,3,1,2,8,2,4,4,1,2,1,2,4,1,3,1,5,0,0,1,0,1
"Dpysl5",0,1,0,1,5,12,2,0,1,0,2,3,9,7,2,23,7,2,0,6,6,3,3,3,9,2,5,10,3,6,1,7,4,8,2,3,4,3,2,4,2,9,6,3,0,0,4,5,6,6,2,15,5,1,2,8,8,6,8,7,4,4,2,4,5,6,6,7,2,7,1,1,2,6,2,4,2,8,7,7,3,0,4,0,3
"Agtr2",0,2,0,1,3,0,1,0,2,0,3,1,2,2,5,4,3,2,0,2,8,1,1,3,4,1,2,1,2,2,2,4,3,1,2,0,4,5,2,1,2,3,4,0,4,2,1,5,8,2,1,4,1,1,3,4,8,1,2,2,3,0,3,2,0,1,0,5,0,2,5,2,2,1,4,4,0,4,0,5,1,0,0,1,0
"Cxcl14",0,0,2,2,7,6,1,1,1,1,3,5,1,3,3,18,7,4,4,5,2,3,2,2,5,3,1,4,6,6,2,3,15,4,5,2,0,2,0,4,7,9,4,4,3,1,2,3,3,3,3,5,4,9,5,1,7,2,4,6,8,0,3,5,6,2,2,8,1,7,8,5,3,2,2,4,1,2,1,3,2,0,0,1,0
"Ptprf",3,4,4,6,16,9,5,0,1,0,2,12,11,7,9,18,7,7,2,12,8,7,0,13,6,10,4,3,5,14,5,11,7,2,6,4,10,5,3,4,3,9,7,4,3,2,4,13,9,3,9,16,7,4,1,7,13,17,7,5,9,4,4,17,6,3,5,8,4,7,7,7,9,2,6,7,5,3,6,5,1,4,0,1,7
"Cers5",0,0,0,0,2,6,2,0,2,0,0,0,1,2,2,4,2,1,0,1,3,2,0,2,5,2,0,2,0,8,1,2,3,2,5,1,0,2,1,1,1,2,4,0,2,0,2,8,2,0,0,4,2,2,1,4,3,6,3,2,2,2,2,2,0,0,2,1,3,5,1,0,0,2,0,0,0,1,0,3,1,0,0,0,1
"Nacc2",1,0,0,2,8,6,2,0,2,0,0,13,8,12,4,8,10,14,2,4,3,3,0,7,5,8,2,4,5,6,5,2,11,6,5,3,1,5,0,9,7,2,5,6,2,1,2,11,2,2,3,11,7,5,4,6,18,5,0,9,4,8,5,5,6,2,4,0,2,4,5,0,2,2,3,3,0,7,3,6,1,0,1,0,3
"Cntnap2",0,0,0,0,4,0,0,0,0,0,0,0,4,4,3,3,3,3,0,0,4,2,3,1,2,4,1,0,0,1,1,1,4,0,3,2,1,4,3,2,1,6,4,2,1,0,4,2,3,2,1,2,0,2,1,3,4,2,6,1,6,0,1,0,1,3,1,3,0,2,2,3,0,0,1,4,0,2,3,2,0,0,0,0,2
"Asic4",0,0,0,2,2,1,3,0,0,1,0,6,0,5,3,7,4,4,0,1,7,3,2,3,0,4,0,2,1,6,1,4,4,6,4,1,2,1,0,3,4,16,2,4,1,4,1,1,4,3,2,0,6,2,4,5,0,1,11,11,5,2,1,4,1,2,1,6,0,1,4,3,1,0,3,4,1,5,1,4,2,0,2,0,1
"Tph2",0,0,0,1,0,4,2,0,0,0,2,2,1,1,2,1,2,1,0,2,3,0,1,2,1,3,0,2,3,3,0,0,8,1,3,1,2,2,2,3,1,4,2,2,0,2,2,3,1,5,3,4,1,2,1,3,4,4,5,2,4,0,3,2,1,1,3,5,3,3,0,2,5,0,2,4,1,3,0,0,0,0,2,0,0
"Nr2e1",1,0,1,2,6,4,2,0,1,0,2,6,2,2,2,12,3,1,0,2,5,1,0,4,1,1,1,3,7,3,6,6,9,5,4,2,2,6,0,1,3,3,8,0,2,0,1,4,2,6,2,5,0,2,3,1,11,3,3,5,4,0,4,2,5,2,2,4,2,3,2,0,1,1,1,4,1,4,2,7,0,0,1,0,1
"Bmp3",0,0,2,0,0,2,2,0,0,0,4,8,0,2,3,4,5,3,1,0,1,7,3,2,3,2,5,1,0,2,1,3,6,7,2,1,0,1,0,2,3,3,3,2,3,0,3,2,2,2,4,4,3,1,2,4,4,1,0,1,4,2,1,3,2,3,2,1,2,2,6,2,0,3,0,4,1,0,1,6,0,0,1,2,1
"B3galnt1",0,2,0,3,6,6,1,0,0,1,0,4,9,6,6,6,2,0,3,3,7,7,2,6,4,7,1,7,2,15,6,6,8,2,6,2,4,5,1,9,2,10,8,4,7,0,5,8,2,4,5,7,7,4,2,7,11,7,15,5,3,2,2,4,10,7,6,7,5,8,3,5,2,1,2,7,3,4,3,4,4,0,5,1,1
"Kcnn1",0,0,0,1,1,2,0,0,1,0,2,4,0,2,3,5,5,3,0,1,6,2,2,7,2,0,3,6,2,2,4,2,7,1,4,3,0,0,3,2,2,2,5,3,2,0,3,1,1,1,4,3,3,2,2,5,7,4,2,5,7,0,2,1,2,2,3,7,0,3,2,6,2,1,0,4,2,2,1,2,0,0,0,0,2
"Fam19a2",0,0,0,2,6,3,0,0,0,0,0,10,1,3,4,6,2,3,0,5,2,7,0,8,3,8,2,0,4,7,2,7,2,4,4,2,1,1,0,2,4,3,6,3,2,2,0,5,2,3,1,2,6,2,3,5,7,2,6,2,2,6,2,2,1,3,4,2,0,4,3,0,1,3,4,4,1,6,5,5,0,0,0,0,3
"Samd4",0,0,2,4,4,5,2,0,0,0,3,5,1,4,9,6,2,3,2,1,6,3,2,2,2,4,4,1,2,4,2,5,7,4,2,2,4,0,3,2,3,5,5,0,2,0,4,6,5,6,2,4,2,2,5,5,12,5,4,5,5,1,2,2,8,2,2,4,2,4,3,2,5,2,4,5,0,2,2,5,2,3,2,0,3
"Egln3",0,0,0,0,2,6,1,0,2,0,0,1,1,5,1,1,2,2,0,1,1,1,0,2,0,1,0,0,0,4,1,1,4,0,2,2,2,2,1,3,1,0,1,3,1,0,1,5,3,3,0,0,1,0,1,5,4,2,3,1,3,0,1,0,2,0,1,2,0,2,1,0,1,0,0,1,2,1,1,5,0,0,0,0,3
"Bmper",0,0,0,3,5,2,1,0,1,1,2,2,2,0,3,3,3,1,1,1,4,1,1,3,0,5,0,2,0,5,0,2,6,0,3,2,1,1,1,3,2,0,0,0,0,2,4,3,6,3,0,5,0,0,0,0,4,4,3,0,7,1,0,2,7,3,6,4,1,1,0,2,1,2,0,6,2,2,2,6,0,0,1,0,2
"Cd200",0,3,2,5,10,11,5,0,1,0,3,11,5,3,2,16,5,12,3,5,11,8,3,9,5,5,7,7,10,13,7,15,15,8,4,2,6,5,11,6,5,13,7,12,8,0,8,18,3,2,4,11,7,4,1,6,17,10,17,11,16,1,5,2,13,7,3,12,4,8,8,3,11,3,1,10,1,7,6,12,0,3,2,1,5
"P2ry1",0,1,2,3,6,3,1,0,0,0,1,7,0,1,3,6,2,3,0,7,4,1,0,6,2,5,0,1,3,6,1,4,4,3,6,0,1,2,4,1,2,4,5,2,7,1,0,4,2,5,2,1,2,0,3,7,6,4,4,1,4,1,1,2,5,5,2,8,0,4,5,3,2,0,2,3,0,7,3,10,0,1,0,0,2
"Sorcs1",0,2,2,2,9,10,4,0,0,1,1,11,0,5,8,3,4,0,0,5,8,4,4,5,3,3,2,1,3,8,5,6,9,2,7,0,8,4,5,7,8,6,9,2,5,0,4,4,6,6,3,9,3,1,3,8,16,7,10,5,7,1,3,4,6,5,6,8,0,3,5,2,5,2,3,7,2,3,2,3,1,0,2,0,0
"Htr3a",0,0,0,0,1,4,0,0,0,0,2,3,1,2,3,19,5,2,0,3,1,0,1,0,0,2,3,1,0,9,2,0,0,1,4,0,2,5,0,4,2,7,0,0,1,0,4,4,3,0,2,1,1,2,0,1,5,3,0,0,0,0,2,1,1,0,0,8,0,2,1,0,3,2,2,11,1,1,0,5,1,0,1,1,1
"Tmem41b",2,0,0,1,2,3,0,0,0,0,4,3,2,3,3,8,0,3,2,0,0,1,1,3,1,2,0,1,0,2,4,0,8,2,3,0,0,2,0,1,1,4,3,2,1,0,1,6,3,0,0,4,1,0,1,1,3,4,4,1,7,1,2,0,4,1,1,1,2,1,1,2,2,0,1,5,0,2,0,1,0,0,0,0,2
"Cdh9",0,0,1,0,2,2,2,0,0,0,0,2,2,0,3,6,2,4,4,2,6,0,0,1,2,3,0,1,1,2,1,4,4,4,1,0,2,2,0,2,2,0,3,3,1,1,6,5,2,1,1,7,1,1,0,5,3,2,3,1,3,3,0,2,7,0,1,2,1,2,1,2,2,1,3,2,1,4,2,2,0,0,0,0,1
"Ppp2r3d",0,2,0,0,2,2,1,0,0,0,1,6,3,1,2,5,2,1,1,2,4,2,2,3,2,1,2,7,0,6,1,2,6,3,6,2,2,1,0,5,2,2,4,0,2,0,2,3,6,5,1,5,4,1,0,3,2,2,4,5,2,2,2,0,2,4,1,2,2,1,3,0,0,2,0,2,0,3,5,4,0,1,0,1,3
"Usp28",0,0,0,4,3,3,0,0,2,0,2,9,2,0,5,6,4,1,5,0,4,0,2,4,4,4,3,2,4,7,0,1,5,0,2,0,1,4,1,3,6,2,1,1,3,1,2,4,2,4,1,4,2,3,3,0,10,4,2,3,9,1,4,2,5,3,2,3,1,2,2,4,3,1,3,4,0,1,1,1,0,0,0,0,1
"Trib2",2,0,5,0,4,5,0,0,2,0,1,6,9,9,4,6,4,4,2,4,4,3,2,4,3,4,3,3,6,5,2,4,8,4,5,1,7,2,2,8,8,4,7,12,2,3,1,4,4,5,8,4,3,6,4,4,8,5,10,8,3,3,1,5,6,0,4,6,3,8,1,3,7,3,4,3,3,4,3,1,0,2,0,0,1
"L2hgdh",0,0,0,0,1,6,0,0,2,0,0,6,0,4,8,2,0,0,2,1,4,3,3,0,3,1,2,2,2,2,4,1,9,2,1,2,2,5,0,3,3,5,4,1,2,0,3,7,3,2,2,5,3,2,0,4,12,5,5,3,3,1,2,1,1,1,1,4,0,1,5,3,3,2,0,6,1,1,5,6,0,0,1,0,3
"Cited2",2,0,0,1,6,2,2,0,2,1,5,14,7,9,7,7,2,8,2,10,12,2,7,2,5,8,5,6,8,15,11,8,22,8,5,7,8,1,2,4,7,5,12,3,7,0,6,14,4,5,4,10,10,7,0,10,12,7,12,7,7,6,3,8,6,6,6,13,3,15,4,4,6,2,1,12,1,7,1,13,1,2,2,0,2
"Btbd11",0,0,0,0,4,4,0,0,0,0,2,5,4,2,1,5,5,9,0,1,1,3,3,3,6,2,3,3,3,1,0,3,9,5,1,2,0,0,1,1,2,4,7,0,0,4,2,4,0,3,0,6,10,3,2,7,11,8,6,1,4,2,1,3,0,1,4,5,2,0,3,2,2,2,1,4,1,7,1,7,0,2,2,0,2
"Rgs12",2,0,0,6,5,2,4,0,0,0,1,5,2,6,6,25,4,7,0,0,7,2,2,1,3,6,1,2,7,3,5,2,8,4,6,1,4,2,3,2,6,12,4,5,3,0,0,8,1,4,1,11,4,7,5,2,5,6,2,4,4,3,3,3,5,4,4,5,2,2,3,3,4,6,4,9,1,4,1,0,0,0,2,0,1
"Cnr1",1,1,0,4,2,5,2,0,0,1,4,7,4,2,10,23,8,3,0,2,3,3,2,2,0,2,3,1,0,3,2,6,8,3,6,1,3,3,2,3,4,7,5,1,5,0,1,10,1,4,1,4,2,4,2,9,5,7,1,6,4,1,5,3,5,2,1,10,1,4,2,6,1,1,4,7,2,0,2,2,0,0,1,0,3
"Kcnd3",0,0,4,2,3,4,1,0,1,1,4,6,4,6,4,9,7,4,3,2,10,2,3,11,2,7,3,11,5,6,7,6,3,5,3,0,1,3,5,7,6,3,4,2,4,2,4,16,4,3,6,9,7,6,4,14,7,6,7,3,5,1,1,7,6,7,6,11,1,3,9,2,4,4,3,5,2,3,4,8,2,0,0,0,6
"Htr3b",0,0,0,1,2,0,0,0,0,0,4,1,0,5,0,2,0,0,1,0,4,0,0,2,2,1,2,0,0,2,1,0,4,1,0,0,3,2,1,2,0,0,4,0,2,0,0,1,1,2,2,3,2,0,4,0,1,1,2,2,5,0,0,1,3,0,0,1,0,1,2,0,0,2,0,0,2,1,1,0,0,1,0,0,2
"Sulf2",2,1,0,3,9,4,6,0,2,1,2,7,6,4,8,17,14,4,4,13,12,7,6,11,10,3,5,10,5,12,2,12,19,9,16,4,5,7,3,11,12,5,13,3,5,7,1,22,11,10,2,19,4,5,6,5,18,17,16,13,10,3,6,8,6,6,3,13,1,7,3,1,5,2,4,4,2,9,6,10,0,0,1,1,8
"Capn5",1,1,0,1,2,4,2,0,1,1,3,8,2,2,9,15,6,5,3,8,2,5,2,8,3,6,7,3,5,12,7,6,9,4,6,3,4,3,2,5,2,7,7,1,2,2,5,2,9,3,4,5,7,1,2,7,10,7,8,6,6,2,1,5,17,4,2,3,0,3,6,6,9,2,4,2,1,3,6,5,1,0,1,0,4
"Osbpl5",0,2,2,3,5,7,4,0,1,0,1,9,1,8,4,10,2,5,2,3,9,5,3,3,5,5,4,6,3,12,2,2,11,4,4,0,3,5,0,4,5,6,6,2,2,1,6,7,4,6,2,9,3,2,1,3,9,9,6,4,12,2,3,4,5,5,2,3,0,4,1,1,2,0,3,0,0,5,7,6,2,0,2,1,6
"Nr2f1",4,7,4,5,20,13,11,0,3,5,6,23,14,22,28,34,22,12,7,12,30,28,10,22,10,24,3,10,9,43,16,17,27,33,19,5,18,17,4,15,21,18,21,11,18,5,15,35,18,17,9,36,17,6,12,25,44,31,24,18,17,4,7,15,23,10,10,30,10,16,9,11,22,5,11,16,12,19,14,19,6,7,2,9,11
"Galnt14",0,0,0,0,1,0,2,0,0,0,0,6,0,2,3,7,8,0,0,0,1,4,3,4,2,0,2,1,6,9,3,5,7,6,2,2,1,0,1,3,3,11,1,3,2,0,2,4,2,6,1,7,1,1,0,6,3,5,3,5,4,1,0,1,2,5,5,2,0,3,2,3,3,1,2,2,0,0,3,6,0,0,1,0,1
"Slc35f1",1,1,2,1,5,6,1,0,1,2,4,7,2,5,2,9,5,7,2,5,5,1,2,7,6,6,4,7,1,4,4,5,11,2,1,2,1,4,1,12,3,4,7,7,7,2,9,3,5,3,5,8,9,6,0,7,14,7,5,7,10,3,1,4,5,9,4,8,2,8,1,0,3,5,4,6,1,5,3,5,2,0,1,1,3
"Mmgt1",0,1,0,1,1,1,1,0,0,0,0,3,0,3,0,2,2,0,2,2,3,2,2,0,0,2,1,1,2,3,1,0,1,0,2,2,1,2,2,3,2,3,3,1,2,0,2,3,1,1,1,3,0,2,1,5,6,2,3,4,4,1,0,0,3,1,0,6,0,2,5,1,0,2,1,3,0,1,1,1,0,0,0,1,1
"Htr7",0,0,0,5,6,5,3,0,0,0,1,0,4,2,2,9,2,0,0,2,6,1,1,2,2,3,2,1,1,7,5,4,5,5,3,2,0,2,3,4,2,5,0,1,2,1,0,8,4,5,0,2,3,4,0,7,6,2,3,2,7,6,2,2,3,6,5,5,2,0,3,1,2,0,3,6,0,2,2,2,1,1,2,0,4
"Racgap1",4,0,0,3,1,1,4,0,0,0,0,1,0,2,1,5,7,6,2,4,4,0,2,5,2,1,2,2,2,7,2,2,10,1,2,0,5,8,2,4,1,4,1,1,3,0,2,6,5,2,5,6,2,4,2,3,9,5,4,1,9,2,0,4,2,2,7,7,1,2,4,0,1,1,4,1,3,5,1,6,0,0,0,1,0
"Arhgap24",0,1,0,2,2,0,2,0,0,0,1,5,2,1,5,10,3,3,3,0,2,2,0,0,2,5,2,1,4,1,0,1,4,3,2,2,2,4,0,2,2,3,7,1,2,0,3,5,3,2,2,3,1,2,0,10,4,3,2,4,3,1,2,1,2,1,2,3,0,6,2,3,0,0,2,1,0,4,3,5,2,0,0,0,2
"Maml3",0,2,0,1,3,2,4,0,0,0,0,5,3,4,5,4,6,0,0,2,7,1,3,2,6,6,1,4,2,4,3,7,10,1,3,0,2,6,0,7,8,8,2,0,3,0,1,1,1,1,2,4,6,3,4,2,6,2,4,7,10,1,0,1,4,5,3,3,4,1,2,0,2,2,0,2,0,2,7,3,1,0,2,2,4
"Gng2",2,1,0,8,8,15,5,0,3,2,5,10,8,5,12,31,9,2,3,5,10,8,5,7,5,10,2,9,8,13,9,6,20,13,5,1,5,3,3,7,9,15,12,3,5,3,3,15,10,7,3,10,5,4,2,20,13,11,4,9,19,4,3,6,7,8,8,11,5,8,10,3,7,10,2,19,1,5,4,12,1,1,3,1,5
"Tnc",0,0,0,0,2,4,0,0,0,0,0,3,2,2,2,2,1,3,2,3,3,0,1,3,0,1,0,0,0,2,0,0,2,0,2,1,0,2,0,1,5,6,1,1,1,1,2,1,2,3,1,1,1,4,0,4,2,4,1,2,1,0,1,3,6,1,1,1,1,1,1,0,0,0,1,2,0,2,1,5,0,0,0,0,2
"Fndc3a",0,1,0,2,5,1,3,0,0,2,2,3,0,1,6,6,2,1,1,0,8,1,0,2,2,4,2,2,8,8,4,3,5,0,3,2,1,2,2,4,7,0,2,1,4,0,3,6,5,2,0,4,2,2,4,4,9,9,5,2,5,2,3,2,3,3,5,6,0,3,3,1,2,1,1,3,0,3,4,2,0,0,2,0,1
"Npas3",0,0,0,2,5,4,0,0,0,2,2,4,1,2,1,10,2,3,2,2,3,4,0,3,1,2,1,3,4,2,0,0,7,1,5,2,3,5,2,1,2,3,4,0,2,1,0,3,3,3,0,9,2,2,0,11,8,4,4,3,3,0,2,0,1,2,2,6,2,0,2,0,0,0,2,4,1,6,5,5,0,1,0,0,2
"Celf6",1,1,1,3,7,5,1,0,1,1,6,7,3,6,6,19,6,0,4,7,9,5,3,7,3,5,4,4,3,8,2,4,3,4,4,1,2,4,8,7,5,10,2,4,3,2,1,12,4,6,3,5,1,6,1,2,11,8,9,6,12,2,1,4,4,4,5,5,3,5,3,3,4,3,2,7,0,9,6,3,0,0,1,1,2
"Inpp4b",0,1,0,1,4,5,2,0,0,0,1,2,0,4,4,4,3,5,1,0,11,3,2,4,0,0,3,1,1,2,2,1,3,5,5,3,1,3,1,5,3,3,5,3,3,1,3,4,5,1,2,2,5,1,3,3,4,4,1,5,9,2,2,7,4,4,2,8,2,4,1,2,3,0,2,1,1,6,2,7,0,0,0,0,1
"Npas1",2,0,0,4,3,5,4,0,2,0,2,6,2,4,3,57,11,0,2,2,4,0,2,3,2,3,2,0,2,4,2,4,7,2,9,1,3,1,0,3,3,13,2,1,0,2,2,7,1,1,5,8,1,3,3,20,7,4,5,6,2,0,0,2,3,0,0,14,0,3,3,1,2,2,1,21,2,8,0,12,1,2,2,0,2
"Ache",2,2,2,3,8,13,7,0,2,2,3,13,6,10,6,34,17,8,4,5,13,9,8,12,10,9,6,4,4,10,4,18,12,8,5,2,5,5,6,11,6,9,9,0,6,2,7,9,19,5,4,34,7,8,2,17,14,13,18,13,9,2,5,8,10,5,2,18,4,12,6,4,8,5,4,23,0,9,5,25,2,3,4,2,5
